school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,19,U,GT3,T,1,0,other,services,course,father,3,3,0,yes,yes,no,yes,no,yes,yes,no,3,1,3,5,2,2,6,8,6,3
GP,F,20,U,GT3,T,2,4,services,teacher,reputation,mother,1,4,0,no,no,yes,yes,yes,no,yes,yes,5,5,4,2,1,2,7,14,9,10
GP,M,20,U,GT3,T,2,0,teacher,services,reputation,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,1,5,1,2,7,7,9,7
GP,F,17,R,LE3,A,2,4,services,services,reputation,mother,4,3,0,no,no,no,yes,yes,no,yes,no,1,4,2,4,2,5,3,17,19,13
GP,F,17,U,GT3,T,3,1,services,services,course,mother,3,3,0,no,no,yes,yes,yes,yes,yes,no,5,5,4,5,2,4,11,12,13,8
GP,M,17,U,GT3,T,1,4,services,other,home,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,5,3,5,2,1,4,10,9,7,6
GP,M,18,R,LE3,T,3,0,teacher,services,home,mother,4,4,0,no,yes,yes,yes,no,yes,yes,no,1,2,1,3,2,4,5,12,12,11
GP,F,19,R,LE3,T,1,2,at_home,health,home,mother,2,3,1,no,yes,no,no,yes,no,yes,no,2,5,2,1,4,3,9,9,9,5
MS,F,17,U,LE3,A,1,4,services,health,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,1,4,5,5,5,7,6,7,4
GP,M,18,U,GT3,T,2,0,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,5,3,5,5,3,2,3,9,10,6
GP,F,17,U,GT3,T,4,1,teacher,services,course,mother,3,3,0,no,yes,no,no,yes,yes,yes,no,3,5,4,2,1,5,14,15,17,12
MS,F,16,U,LE3,T,1,0,services,other,other,other,3,4,1,no,yes,yes,no,yes,yes,yes,no,3,2,4,1,4,2,11,9,9,7
GP,M,20,U,GT3,T,2,1,other,services,home,mother,4,1,0,no,yes,yes,no,no,yes,yes,no,1,2,2,4,1,2,5,4,6,8
GP,F,21,U,GT3,T,0,1,services,other,reputation,father,3,2,0,no,no,no,yes,yes,yes,yes,yes,3,3,1,4,1,3,8,7,8,6
GP,M,17,R,LE3,T,0,3,at_home,services,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,1,4,3,3,4,5,10,8,7
MS,M,21,U,GT3,T,3,1,other,health,reputation,father,3,3,0,no,no,no,yes,yes,yes,yes,yes,2,1,4,1,3,4,7,11,14,11
GP,M,19,U,LE3,T,3,0,services,other,reputation,mother,4,3,0,no,no,no,yes,yes,yes,yes,no,2,2,3,5,2,4,9,10,13,10
GP,F,16,U,GT3,T,1,0,other,services,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,5,3,3,5,1,7,11,12,8
GP,F,17,R,GT3,T,3,4,at_home,services,course,mother,2,4,0,no,yes,yes,no,no,yes,no,yes,3,2,2,4,1,1,6,12,13,14
MS,F,15,U,LE3,T,1,4,services,other,other,father,4,3,0,no,no,no,no,yes,yes,yes,no,2,4,3,5,1,5,8,13,16,12
GP,F,15,R,GT3,T,1,1,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,2,3,2,3,3,5,14,8,5,5
GP,M,17,R,GT3,T,2,0,teacher,other,course,other,4,1,0,no,yes,no,yes,no,no,yes,no,3,4,3,1,3,1,7,10,12,10
GP,F,18,U,GT3,T,1,0,other,health,reputation,mother,3,2,0,no,no,no,no,yes,yes,yes,no,2,2,1,5,5,5,7,8,7,6
GP,M,21,U,GT3,T,4,4,other,other,home,mother,3,4,0,no,yes,no,no,yes,yes,yes,no,3,5,4,4,1,2,7,13,16,14
GP,M,16,U,GT3,T,2,3,other,other,home,father,3,2,0,no,yes,no,yes,no,yes,yes,no,5,2,2,5,3,5,5,11,11,8
GP,M,21,U,LE3,T,1,3,other,other,reputation,mother,3,4,0,no,yes,no,yes,no,yes,yes,yes,4,4,4,4,1,5,11,14,12,11
GP,F,16,R,GT3,T,2,1,teacher,health,home,mother,4,3,0,no,yes,yes,yes,yes,yes,yes,no,2,5,3,5,1,4,2,11,11,9
GP,F,16,U,GT3,T,3,3,other,services,course,father,4,3,0,no,no,no,no,yes,yes,no,no,3,3,5,5,3,1,11,10,12,10
GP,M,20,R,GT3,T,1,0,services,services,reputation,mother,2,2,0,no,yes,no,yes,no,yes,no,no,3,4,2,2,4,4,5,12,12,9
GP,M,21,U,GT3,T,4,3,other,health,reputation,mother,4,3,0,no,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,1,10,14,13,10
GP,M,19,U,GT3,T,2,2,teacher,other,home,mother,3,1,0,no,yes,yes,no,yes,yes,yes,yes,4,3,2,1,5,2,13,8,7,7
MS,M,15,U,LE3,T,3,1,services,services,other,mother,3,1,0,no,yes,no,no,no,yes,yes,no,3,2,4,4,3,4,11,7,8,6
GP,M,15,U,GT3,T,4,3,other,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,no,yes,2,5,1,2,3,1,12,13,16,10
GP,F,18,U,LE3,T,2,3,other,health,home,mother,2,3,0,no,yes,yes,no,yes,yes,yes,yes,4,5,4,3,5,2,4,12,9,10
GP,M,18,U,GT3,T,0,2,at_home,services,home,mother,3,3,1,no,yes,yes,no,yes,yes,yes,no,1,4,5,4,2,4,11,9,14,10
GP,F,22,U,GT3,T,3,0,services,services,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,4,3,2,1,4,10,11,8
MS,M,17,U,GT3,T,0,0,services,services,other,mother,2,2,0,no,yes,no,yes,yes,no,yes,yes,5,5,1,1,4,2,5,10,11,8
GP,M,16,U,GT3,T,2,4,other,services,home,mother,4,3,1,no,yes,no,yes,yes,yes,yes,no,4,4,3,2,1,1,7,11,10,8
GP,F,22,R,LE3,T,4,1,services,other,other,mother,2,3,0,no,no,yes,no,yes,yes,yes,no,3,3,3,1,5,4,8,14,14,12
GP,F,16,U,GT3,T,2,1,services,services,home,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,5,2,2,2,5,1,7,11,11,6
GP,F,15,U,GT3,T,3,3,services,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,5,3,4,5,2,15,11,9,8
MS,M,18,U,GT3,T,2,1,services,services,home,father,1,3,3,no,no,no,yes,yes,yes,yes,no,3,1,4,3,3,3,14,9,7,6
GP,F,18,U,LE3,T,1,1,services,health,reputation,mother,4,4,2,yes,yes,no,no,yes,yes,yes,no,5,1,5,4,4,2,7,9,11,3
MS,F,19,U,LE3,T,1,3,services,services,course,mother,1,2,0,yes,yes,no,no,yes,yes,no,yes,1,5,2,1,5,2,9,11,8,8
GP,F,22,U,GT3,T,2,2,other,teacher,reputation,mother,4,4,1,no,no,no,no,yes,yes,yes,no,4,1,2,4,1,5,8,13,14,11
GP,F,22,R,GT3,T,0,3,other,health,home,mother,4,3,0,no,yes,no,no,yes,no,yes,no,4,1,2,3,2,4,10,13,13,11
GP,F,17,U,GT3,T,2,0,other,services,course,father,2,2,0,no,no,no,no,yes,yes,yes,yes,3,3,3,2,3,1,8,11,9,9
GP,F,22,U,LE3,A,2,2,services,other,other,father,4,3,0,no,no,no,yes,no,yes,yes,yes,1,3,3,4,4,5,5,12,16,11
GP,F,20,U,GT3,T,4,2,services,health,reputation,father,2,4,0,no,no,no,yes,yes,yes,no,no,4,1,4,1,4,3,6,17,16,11
GP,F,15,U,GT3,T,0,3,at_home,services,course,mother,4,1,0,no,no,no,no,yes,yes,yes,yes,2,2,2,3,5,1,13,7,5,1
MS,F,22,U,GT3,T,4,0,other,at_home,course,mother,1,1,1,no,yes,no,no,no,yes,no,no,5,2,2,3,3,5,3,7,6,6
GP,F,16,U,LE3,T,2,0,services,services,home,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,2,1,1,1,2,8,10,9,9
MS,F,19,U,GT3,T,3,3,at_home,services,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,2,1,1,5,1,2,4,8,8,8
MS,M,21,U,GT3,T,2,3,other,health,home,mother,4,4,0,no,yes,no,yes,no,yes,yes,no,3,4,1,2,5,1,9,9,10,6
GP,F,16,R,LE3,T,1,4,at_home,services,course,mother,1,4,0,no,yes,no,no,no,yes,yes,no,1,3,2,1,3,5,3,16,17,15
GP,F,17,U,GT3,T,4,1,other,services,home,mother,4,3,0,no,yes,yes,no,yes,no,yes,no,3,5,4,3,4,2,12,9,9,4
GP,F,18,R,GT3,T,1,4,health,other,home,father,1,4,2,yes,yes,yes,no,yes,yes,no,no,1,1,4,5,3,3,9,10,9,5
GP,F,22,U,LE3,T,0,1,services,other,reputation,mother,2,1,0,no,yes,yes,no,yes,yes,no,no,5,4,5,4,5,2,9,4,5,4
MS,F,16,U,LE3,A,3,3,at_home,other,reputation,mother,3,3,0,no,yes,no,no,yes,yes,yes,no,4,5,3,4,2,5,5,13,13,11
GP,F,20,R,GT3,T,3,0,teacher,services,course,father,1,2,0,no,yes,no,no,no,yes,no,no,2,3,3,5,1,4,9,8,7,9
GP,M,18,U,LE3,T,4,4,other,health,other,father,2,2,2,no,no,no,yes,yes,yes,no,no,5,4,5,1,4,3,11,6,8,4
GP,F,15,R,LE3,A,2,1,at_home,services,home,mother,4,2,2,no,yes,yes,no,no,yes,yes,yes,1,3,1,3,3,2,13,7,6,2
GP,F,20,U,GT3,A,0,4,health,services,home,mother,4,3,0,no,no,no,yes,yes,yes,yes,no,3,3,4,2,5,4,7,10,12,7
MS,F,21,U,GT3,T,0,1,other,teacher,reputation,mother,1,3,0,yes,no,no,yes,yes,no,yes,no,1,5,5,4,1,3,5,10,13,8
GP,F,19,R,LE3,T,2,3,at_home,health,reputation,mother,3,1,0,no,no,no,yes,yes,yes,yes,no,1,3,3,5,2,5,7,9,11,12
GP,F,16,U,LE3,T,1,2,other,services,reputation,mother,3,3,1,no,yes,no,no,no,yes,yes,yes,2,3,2,1,5,4,6,11,12,10
GP,M,16,U,GT3,T,4,0,services,services,course,mother,1,4,1,no,no,no,yes,yes,no,no,no,2,5,4,1,5,1,8,10,10,9
GP,M,18,U,GT3,T,0,0,other,services,course,mother,3,1,1,no,no,yes,no,yes,yes,yes,no,4,3,5,5,1,5,6,4,3,2
GP,F,19,U,GT3,T,4,3,services,other,home,mother,3,4,0,no,no,no,no,yes,yes,yes,no,5,1,2,3,5,1,12,13,13,10
MS,F,19,R,GT3,T,1,0,at_home,services,reputation,mother,3,3,0,no,no,no,no,yes,yes,yes,no,4,4,3,2,1,2,9,12,8,9
GP,F,16,U,GT3,A,0,1,teacher,other,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,1,1,1,3,9,13,14,10
GP,F,19,U,GT3,T,1,2,at_home,services,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,2,5,2,6,9,10,7
GP,M,17,R,LE3,T,0,1,at_home,services,home,mother,3,3,0,no,no,no,no,yes,yes,yes,no,2,4,4,1,1,5,4,11,13,8
GP,F,20,U,GT3,T,2,0,services,services,reputation,mother,3,4,0,yes,yes,no,no,yes,yes,yes,yes,2,1,3,2,2,5,7,15,15,11
MS,F,21,U,GT3,A,1,3,services,services,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,1,1,1,1,11,13,14,11
GP,M,20,U,LE3,A,2,3,other,services,home,mother,1,1,1,yes,yes,no,no,yes,yes,yes,no,3,5,2,1,3,2,6,6,3,1
GP,F,15,U,LE3,T,2,3,at_home,services,course,father,3,3,1,no,yes,no,no,no,yes,yes,yes,3,4,1,5,1,2,8,8,6,5
GP,F,22,U,GT3,T,0,4,services,other,home,mother,4,2,1,no,yes,no,no,no,yes,yes,no,1,4,4,4,2,4,8,9,4,5
GP,M,15,U,LE3,T,0,0,other,services,reputation,mother,1,1,1,no,yes,no,no,yes,yes,yes,no,3,4,5,5,2,3,8,4,3,2
MS,F,22,U,LE3,T,0,2,at_home,services,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,1,1,2,4,4,6,8,7,4
GP,F,15,U,LE3,T,0,1,other,other,course,mother,4,3,0,no,yes,yes,no,yes,yes,yes,yes,3,5,2,2,3,1,8,11,10,8
GP,F,19,U,GT3,T,0,4,other,teacher,home,father,3,1,0,no,no,no,yes,no,yes,yes,yes,4,2,5,2,1,3,6,12,13,9
MS,M,15,R,GT3,T,1,2,other,at_home,home,mother,4,4,0,no,yes,no,yes,yes,no,yes,no,5,4,5,3,3,2,8,10,10,8
GP,F,15,U,GT3,T,2,0,other,at_home,home,mother,4,2,0,no,no,no,yes,yes,yes,no,yes,1,5,4,1,3,2,12,13,11,11
GP,F,20,U,LE3,T,1,3,at_home,services,reputation,mother,4,1,0,no,yes,no,no,no,yes,no,no,5,2,4,2,2,4,11,8,13,6
GP,F,20,R,LE3,T,1,0,health,services,home,mother,1,1,1,no,yes,no,no,yes,yes,yes,no,5,4,5,5,3,1,9,6,6,8
GP,F,15,U,GT3,T,2,1,services,health,course,mother,2,4,0,no,yes,no,yes,yes,yes,yes,no,3,1,2,2,2,1,3,16,15,12
GP,M,22,U,GT3,T,2,3,other,other,home,mother,1,1,2,no,yes,yes,no,yes,yes,yes,no,4,4,5,4,2,3,9,6,4,3
GP,F,17,U,GT3,T,1,2,services,services,home,father,1,2,3,no,no,yes,yes,yes,yes,no,yes,1,3,5,2,4,4,8,4,3,0
GP,M,17,U,LE3,T,1,3,other,services,reputation,father,4,3,1,no,no,no,yes,yes,no,yes,no,2,1,2,5,2,3,8,11,11,10
GP,M,17,R,LE3,T,2,2,teacher,services,course,father,3,3,0,yes,yes,no,no,no,no,yes,no,1,4,1,4,2,1,7,11,14,10
GP,M,18,R,LE3,T,0,4,services,other,course,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,5,3,5,1,4,5,9,9,6
GP,F,16,U,GT3,A,2,2,services,other,course,mother,1,1,1,no,yes,yes,yes,yes,yes,yes,yes,5,1,4,3,4,2,1,7,10,5
GP,M,18,U,GT3,T,4,0,services,other,reputation,mother,1,3,1,no,yes,yes,no,no,yes,yes,yes,4,5,5,5,4,4,9,11,10,7
GP,M,16,U,GT3,A,1,0,teacher,other,course,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,4,5,1,2,4,2,8,6,7,6
GP,F,15,U,GT3,A,0,3,health,other,course,mother,2,1,0,yes,yes,no,no,yes,yes,yes,yes,1,3,2,3,1,5,9,6,8,6
MS,M,17,U,GT3,T,3,0,other,services,home,mother,2,1,2,no,yes,no,no,yes,yes,yes,no,5,5,4,1,3,2,12,3,4,2
MS,M,20,U,GT3,T,0,1,services,other,reputation,mother,4,3,0,yes,no,yes,no,yes,yes,yes,no,1,2,1,1,2,5,13,11,14,9
GP,F,21,U,LE3,T,0,0,teacher,services,course,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,3,4,4,4,4,2,8,4,4,2
GP,M,17,U,GT3,T,0,1,teacher,services,home,father,3,2,0,no,yes,yes,yes,yes,no,yes,no,4,4,2,2,2,4,8,8,8,5
GP,F,17,U,LE3,T,4,2,services,other,course,mother,2,1,0,no,yes,no,no,yes,yes,no,no,5,3,1,1,3,3,9,7,3,4
GP,M,21,U,GT3,T,4,0,health,at_home,reputation,mother,2,4,0,yes,yes,yes,yes,no,yes,yes,yes,5,5,2,2,3,1,8,16,16,14
GP,M,20,U,LE3,A,2,2,at_home,health,reputation,mother,4,3,3,no,yes,no,yes,yes,yes,no,no,3,5,4,2,4,1,6,5,6,4
GP,F,21,U,GT3,T,3,4,other,services,home,mother,4,4,1,no,yes,no,no,yes,yes,yes,no,3,4,5,4,4,3,5,9,11,7
GP,M,22,R,GT3,T,3,0,services,services,course,father,1,1,2,no,yes,no,yes,yes,no,no,no,3,3,1,1,5,1,5,6,5,4
GP,F,21,U,LE3,T,3,0,at_home,other,course,mother,2,2,0,no,no,no,no,no,yes,yes,no,3,5,3,1,3,4,9,13,16,11
GP,M,22,R,GT3,T,2,1,health,services,home,father,1,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,2,4,5,1,9,9,9,4
GP,M,18,U,GT3,T,4,4,services,other,reputation,father,2,3,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,5,3,7,12,11,9
MS,F,18,R,LE3,T,3,2,other,services,home,mother,3,4,0,no,no,no,yes,yes,yes,no,yes,3,1,4,3,3,2,14,15,15,11
GP,F,17,U,GT3,T,0,3,services,other,home,mother,2,1,0,no,yes,no,yes,yes,yes,no,no,3,2,5,4,4,1,9,10,8,5
MS,F,16,U,GT3,T,1,0,other,health,other,mother,2,4,1,no,yes,no,no,yes,yes,yes,no,1,5,2,3,5,2,9,11,12,8
GP,F,20,U,GT3,T,4,3,services,other,reputation,mother,2,3,3,no,yes,no,no,no,yes,yes,no,1,3,2,1,5,3,13,6,6,3
MS,F,20,U,GT3,T,2,0,services,services,reputation,mother,2,4,0,no,no,no,no,yes,yes,yes,no,3,3,2,4,2,2,13,13,15,9
MS,F,21,U,LE3,T,1,3,services,services,home,other,2,1,0,no,no,no,yes,yes,yes,yes,no,2,5,4,1,4,2,9,6,5,3
MS,F,16,U,GT3,A,4,0,services,services,other,mother,2,4,0,yes,yes,no,no,yes,yes,yes,no,4,2,3,2,3,2,11,12,12,12
MS,F,18,R,GT3,T,3,4,other,services,home,father,3,2,0,no,yes,yes,no,yes,yes,yes,no,5,2,1,1,1,2,4,14,10,7
GP,M,16,U,LE3,T,2,1,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,no,yes,no,4,1,5,3,2,3,11,12,13,10
GP,M,22,U,LE3,T,2,0,other,other,home,other,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,2,1,4,5,5,9,8,8,4
GP,M,17,U,GT3,T,0,1,other,other,home,mother,3,4,0,no,no,no,yes,yes,yes,no,yes,3,3,5,4,5,3,13,7,6,4
GP,F,16,U,LE3,T,1,0,services,other,course,mother,3,4,0,no,yes,no,no,yes,yes,yes,yes,5,4,1,1,4,3,8,10,10,8
GP,M,19,U,GT3,T,2,0,services,at_home,home,mother,2,1,1,no,yes,no,no,yes,no,yes,no,5,2,3,2,5,4,7,5,4,1
GP,M,22,U,GT3,A,4,2,services,services,course,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,1,3,2,1,3,3,8,11,14,11
MS,F,22,U,LE3,T,1,1,services,other,home,father,3,3,0,no,yes,no,no,yes,yes,yes,no,4,2,4,2,4,5,8,8,6,8
GP,F,15,R,GT3,T,0,1,other,other,course,mother,2,3,0,no,yes,no,no,yes,no,yes,yes,3,5,3,2,1,3,11,10,11,10
GP,M,17,R,GT3,T,2,4,services,services,course,mother,3,1,0,no,no,no,no,yes,yes,yes,yes,5,3,2,4,2,2,12,12,10,10
GP,F,16,U,GT3,T,4,0,other,other,course,mother,1,2,0,no,yes,no,yes,yes,no,yes,no,3,1,3,4,1,3,11,11,10,6
GP,F,17,U,LE3,T,2,1,at_home,services,home,mother,1,2,1,no,yes,no,no,yes,yes,yes,no,1,4,5,5,5,4,7,8,8,5
GP,M,19,R,LE3,T,1,0,services,other,course,mother,3,2,1,no,yes,no,no,no,yes,yes,no,2,2,2,2,4,2,14,5,4,4
GP,F,17,R,GT3,T,3,2,at_home,other,other,mother,2,4,0,no,yes,no,no,yes,yes,yes,no,1,5,2,1,5,2,10,10,11,10
GP,F,15,U,LE3,T,3,1,services,other,home,mother,3,1,0,no,yes,no,yes,yes,no,yes,no,2,2,1,1,3,3,8,7,8,9
GP,M,19,R,GT3,T,1,0,other,services,home,mother,3,3,0,yes,yes,yes,no,no,yes,yes,no,1,5,4,5,3,5,5,7,7,7
GP,M,15,R,LE3,T,4,0,health,at_home,course,mother,2,4,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,5,4,2,10,12,14,12
GP,F,16,R,GT3,T,2,4,other,health,home,father,1,4,0,no,yes,no,no,yes,yes,yes,no,3,1,4,2,3,3,11,14,14,15
GP,M,15,U,GT3,T,0,0,other,other,course,mother,1,4,1,no,no,no,yes,yes,yes,yes,no,4,4,1,5,2,4,13,8,8,6
GP,M,15,U,GT3,T,2,3,other,services,course,mother,4,1,0,no,no,yes,yes,no,yes,yes,no,5,4,4,3,2,4,5,9,10,7
GP,F,18,U,GT3,T,4,4,services,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,5,1,3,1,11,13,13,10
GP,M,21,U,LE3,T,1,2,other,other,reputation,mother,3,4,0,no,yes,no,yes,yes,yes,yes,yes,3,1,5,2,1,2,12,17,19,13
MS,F,21,U,GT3,A,2,1,services,services,reputation,mother,4,3,0,no,no,no,no,yes,yes,yes,yes,2,3,5,2,1,5,8,13,14,11
MS,F,15,U,GT3,T,3,3,other,services,home,mother,4,3,2,no,no,no,yes,yes,yes,yes,no,4,4,2,4,1,5,8,8,8,2
GP,M,15,U,GT3,T,3,4,health,other,course,mother,2,2,0,no,yes,no,no,no,yes,yes,no,3,1,4,1,1,4,12,13,13,9
GP,F,17,U,LE3,T,4,0,services,services,home,mother,1,3,0,no,yes,yes,yes,no,yes,yes,no,4,2,3,1,1,1,2,15,13,11
GP,M,20,R,GT3,T,0,4,services,services,reputation,mother,4,1,0,no,yes,no,yes,yes,yes,yes,no,1,4,3,4,1,3,5,5,2,4
MS,M,20,U,GT3,T,2,4,services,teacher,course,other,3,2,1,no,no,yes,no,no,yes,yes,yes,1,3,2,2,1,1,10,12,9,9
GP,F,21,U,GT3,T,2,0,services,services,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,1,5,4,2,5,2,14,9,13,7
MS,M,17,R,GT3,T,0,0,other,other,course,mother,3,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,5,1,5,13,6,2,6
GP,F,16,R,LE3,T,3,3,services,at_home,home,mother,1,1,0,no,no,yes,yes,yes,yes,yes,yes,3,4,4,5,3,2,14,8,10,7
GP,M,15,R,LE3,T,0,0,other,services,reputation,mother,3,1,0,no,yes,yes,no,yes,yes,yes,no,2,3,5,3,1,1,14,8,7,6
GP,F,16,R,LE3,A,2,3,teacher,services,home,father,3,1,1,no,no,no,no,yes,yes,yes,no,2,2,5,5,5,4,10,4,6,1
GP,M,15,R,GT3,T,1,0,other,services,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,4,5,1,5,2,4,5,11,8,6
GP,M,21,U,LE3,T,0,3,other,services,course,mother,2,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,3,4,4,13,12,12,11
GP,F,17,U,GT3,T,4,1,services,other,course,mother,2,4,0,no,no,yes,yes,yes,yes,yes,yes,5,3,5,5,4,5,9,13,16,12
MS,M,21,U,LE3,T,1,0,other,services,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,3,1,4,4,7,10,11,8
GP,M,19,U,GT3,T,1,0,other,at_home,course,other,1,3,0,no,yes,no,yes,no,yes,yes,no,4,5,4,1,4,4,6,10,10,8
GP,M,19,R,LE3,T,4,0,other,other,course,mother,4,4,1,no,no,no,no,yes,yes,no,no,1,1,4,5,3,5,8,12,9,5
GP,M,18,U,GT3,T,4,2,services,services,reputation,father,2,2,0,yes,no,yes,no,yes,yes,yes,no,5,1,4,1,4,2,8,13,11,9
GP,M,21,U,LE3,T,0,0,services,other,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,1,1,5,4,5,3,14,12,15,13
GP,F,15,U,GT3,T,1,4,other,health,course,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,2,4,1,3,2,3,5,13,13,12
MS,F,15,U,GT3,T,3,3,services,services,course,mother,2,4,0,no,yes,no,yes,yes,yes,yes,no,4,1,1,4,5,4,11,14,14,11
GP,F,18,U,GT3,T,3,1,other,health,home,mother,4,4,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,4,5,3,16,14,15,14
MS,M,18,U,GT3,A,4,4,services,other,reputation,father,2,3,0,no,yes,no,yes,yes,yes,yes,yes,1,1,3,1,4,3,14,18,16,11
MS,F,19,R,GT3,T,2,3,other,other,course,mother,4,3,0,no,no,no,yes,no,yes,no,yes,4,4,5,2,5,1,10,14,15,10
GP,F,20,U,LE3,T,0,3,teacher,services,home,mother,2,4,0,no,no,no,no,yes,yes,yes,no,1,4,4,4,1,4,8,12,12,13
GP,F,19,R,GT3,T,4,0,teacher,services,home,other,4,3,3,no,no,no,yes,yes,yes,yes,no,1,5,1,5,3,1,9,4,4,3
GP,M,17,U,LE3,A,0,3,other,services,other,mother,4,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,5,4,3,10,8,7,5
MS,F,17,U,LE3,T,0,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,1,3,5,5,3,9,9,7,6
GP,M,21,U,GT3,T,3,4,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,2,4,2,5,1,4,10,13,13,9
GP,F,16,R,LE3,A,3,2,other,other,home,father,4,1,0,yes,yes,no,no,yes,yes,yes,yes,5,3,4,5,5,3,9,6,7,6
GP,M,19,U,LE3,A,0,3,services,other,reputation,father,4,3,0,no,yes,no,no,yes,no,yes,yes,4,5,2,3,1,1,11,14,15,12
GP,F,19,R,GT3,T,0,1,services,services,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,1,4,2,2,3,7,8,8,6
GP,F,21,U,LE3,T,2,0,health,other,other,mother,3,4,0,yes,yes,no,yes,yes,yes,yes,no,3,3,1,3,4,2,7,9,11,6
GP,M,20,U,GT3,T,1,0,services,at_home,other,mother,4,3,1,no,yes,no,no,yes,yes,yes,no,3,1,2,4,2,2,4,9,9,7
GP,M,18,R,GT3,T,3,4,services,services,course,mother,4,1,1,no,yes,no,no,no,yes,yes,no,1,3,3,3,5,2,3,6,6,3
GP,F,17,U,GT3,T,2,3,other,other,course,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,1,4,5,5,1,5,10,10,6
GP,F,17,U,GT3,T,2,1,teacher,health,home,mother,4,3,2,yes,yes,no,yes,yes,yes,no,no,4,4,5,4,1,5,5,7,8,7
GP,M,18,R,GT3,T,2,3,health,other,course,mother,3,2,3,no,yes,no,yes,yes,yes,yes,no,3,4,2,2,2,2,5,4,4,5
GP,M,16,U,GT3,T,1,0,services,other,home,mother,4,4,0,no,yes,yes,no,yes,yes,yes,no,3,1,5,5,1,3,7,12,12,13
GP,F,20,U,LE3,T,1,0,health,other,home,mother,1,2,0,yes,yes,no,no,yes,yes,no,no,5,3,5,5,4,5,16,7,5,5
GP,F,16,U,LE3,T,3,2,services,services,other,father,3,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,2,3,5,2,9,9,11,7
MS,M,20,U,GT3,A,2,3,at_home,services,course,mother,1,4,0,no,no,no,yes,yes,no,no,no,2,4,1,1,4,5,9,13,12,10
GP,M,21,R,GT3,T,2,4,services,other,home,mother,2,4,0,no,yes,no,yes,yes,yes,yes,no,1,3,2,2,1,3,8,16,17,14
GP,M,22,R,LE3,T,2,3,at_home,other,course,father,1,3,0,no,no,no,no,yes,yes,yes,no,5,3,4,5,1,5,13,14,19,12
GP,M,15,U,GT3,T,1,1,other,services,reputation,other,2,2,2,yes,yes,no,no,yes,yes,yes,no,4,5,4,1,1,3,8,7,8,7
GP,F,21,R,LE3,T,4,4,at_home,other,home,mother,4,4,0,no,no,no,yes,yes,yes,yes,yes,4,3,4,3,3,1,10,14,18,9
GP,M,15,U,GT3,T,2,2,at_home,services,home,father,3,1,1,no,no,no,no,yes,yes,yes,no,2,5,4,4,4,5,9,6,5,3
